,Entry Date,Exit Date,Entry Price,Exit Price,Profit (%),Days in Trade,Entry Day,Exit Day,Entry RSI,TP Boost
0,2024-02-01,2024-02-02,53.29219882148872,57.55557472720782,8.000000000000007,1,Thursday,Friday,58.54620307797956,True
1,2024-02-07,2024-02-09,57.69283503136365,60.2683109167343,4.464117396849265,2,Wednesday,Friday,67.47510746877485,True
2,2024-02-14,2024-02-16,57.81322295369912,57.4198359167139,-0.6804447441033812,2,Wednesday,Friday,60.74071552708521,False
3,2024-02-22,2024-02-23,58.78967869749351,59.619182570748045,1.410968543513924,1,Thursday,Friday,61.61261957894833,True
4,2024-02-29,2024-03-01,60.09623562935989,63.13931171754806,5.063671719733276,1,Thursday,Friday,60.53501839226955,True
5,2024-03-06,2024-03-08,60.75228499556452,60.058226177593056,-1.1424406802511888,2,Wednesday,Friday,55.319301680985575,True
6,2024-03-20,2024-03-22,60.07551907957395,62.62678520112223,4.246765006173248,2,Wednesday,Friday,56.390564356728504,True
7,2024-03-27,2024-03-28,62.58733758501312,61.569954635157906,-1.6255411863035252,1,Wednesday,Thursday,55.900512985618825,False
8,2024-04-01,2024-04-05,61.926953372704254,59.850623903713426,-3.3528687524712275,4,Monday,Friday,55.65940149933448,False
9,2024-04-11,2024-04-12,59.61678992935605,58.71125832233985,-1.518920438502691,1,Thursday,Friday,54.65363142240988,True
10,2024-05-03,2024-05-03,56.34315280125894,56.703703721749484,0.6399196753549274,0,Friday,Friday,52.56910050490408,False
11,2024-05-06,2024-05-10,57.43112371491907,59.16351734360181,3.016471760646944,4,Monday,Friday,56.475544156007494,True
12,2024-05-13,2024-05-17,59.93051808485499,62.93365313657017,5.011028016582597,4,Monday,Friday,58.938194224873286,True
13,2024-05-20,2024-05-24,63.0345653547237,65.34574039843481,3.6665201555766913,4,Monday,Friday,68.4960463121148,True
14,2024-06-03,2024-06-07,63.73434789870515,67.12703353819583,5.323166787369926,4,Monday,Friday,56.49116710454452,True
15,2024-06-10,2024-06-14,66.59015216936207,74.16119392194844,11.369611730771467,4,Monday,Friday,68.34483612976487,True
16,2024-06-26,2024-06-28,73.60579530467609,73.81733297275164,0.2873926804267679,2,Wednesday,Friday,65.73572825252572,True
17,2024-07-01,2024-07-05,74.17650383407045,81.63336484257114,10.05286124725069,4,Monday,Friday,64.83853902915453,True
18,2024-07-12,2024-07-12,79.52388971082227,80.64580951306186,1.4107959335481368,0,Friday,Friday,62.6057934939543,True
19,2024-07-15,2024-07-19,81.48943293165584,71.06684333348711,-12.790111825799578,4,Monday,Friday,63.69253667946805,False
20,2024-08-15,2024-08-16,66.14201625265262,68.64372215205641,3.782324823373462,1,Thursday,Friday,55.45992630370656,True
21,2024-08-19,2024-08-23,68.69491854382682,70.53331339891736,2.676172989298564,4,Monday,Friday,59.33344287599834,True
22,2024-08-30,2024-08-30,68.13006930927271,68.61619683413271,0.7135285928643986,0,Friday,Friday,52.76420733929498,False
23,2024-09-12,2024-09-13,64.63337005750407,67.35036347290871,4.2037006781285635,1,Thursday,Friday,53.07618353246646,True
24,2024-09-19,2024-09-20,70.30275543864798,70.12950531969894,-0.2464343223363863,1,Thursday,Friday,59.77779363955837,False
25,2024-09-23,2024-09-27,70.63563773293191,71.92540667733256,1.8259464850833185,4,Monday,Friday,59.6166869516333,True
26,2024-09-30,2024-10-04,71.47330578920592,71.96186907972503,0.683560505736236,4,Monday,Friday,61.3891503080187,False
27,2024-10-09,2024-10-11,72.53903531744548,74.29692062028981,2.4233645996965203,2,Wednesday,Friday,61.77994352621297,False
28,2024-10-14,2024-10-14,75.4448652435411,76.20853214725379,1.0122185270628137,0,Monday,Monday,65.11232894513002,False
